iter	Passed	Remaining
406	20527	80343
407	20610	80420
408	20680	80445
409	20727	80380
410	20793	80391
411	20869	80438
412	20933	80440
413	20998	80443
414	21044	80374
415	21105	80364
416	21149	80285
417	21198	80227
418	21246	80167
419	21289	80089
420	21340	80040
421	21378	79942
422	21419	79854
423	21464	79783
424	21513	79727
425	21564	79677
426	21605	79591
427	21650	79519
428	21692	79437
429	21734	79355
430	21778	79282
431	21821	79203
432	21876	79169
433	21921	79098
434	21963	79018
435	22010	78953
436	22061	78907
437	22109	78847
438	22147	78752
439	22195	78694
440	22260	78693
441	22303	78616
442	22345	78538
443	22380	78432
444	22430	78379
445	22475	78309
446	22522	78249
447	22567	78179
448	22610	78103
449	22656	78039
450	22708	77993
451	22749	77912
452	22795	77845
453	22837	77769
454	22887	77717
455	22937	77665
456	22982	77595
457	23024	77519
458	23065	77436
459	23113	77378
460	23158	77311
461	23199	77231
462	23244	77165
463	23286	77086
464	23331	77019
465	23370	76931
466	23413	76857
467	23471	76834
468	23520	76779
469	23569	76727
470	23609	76642
471	23651	76567
472	23696	76500
473	23740	76429
474	23789	76375
475	23832	76303
476	23874	76228
477	23922	76171
478	23969	76110
479	24027	76085
480	24071	76016
481	24112	75937
482	24157	75873
483	24194	75783
484	24232	75694
485	24273	75617
486	24317	75549
487	24361	75480
488	24406	75416
489	24448	75342
490	24500	75298
491	24542	75224
492	24586	75156
493	24631	75089
494	24668	75000
495	24705	74913
496	24747	74840
497	24792	74777
498	24838	74716
499	24874	74622
500	24925	74576
501	24971	74515
502	25021	74467
503	25064	74396
504	25107	74328
505	25165	74303
506	25216	74258
507	25267	74209
508	25314	74152
509	25364	74102
510	25406	74031
511	25446	73952
512	25493	73897
513	25545	73853
514	25585	73775
515	25634	73724
516	25693	73701
517	25744	73655
518	25789	73592
519	25833	73525
520	25880	73469
521	25924	73403
522	25972	73348
523	26029	73320
524	26074	73255
525	26131	73227
526	26175	73161
527	26223	73107
528	26269	73047
529	26317	72993
530	26363	72934
531	26406	72866
532	26443	72782
533	26492	72729
534	26533	72657
535	26583	72608
536	26626	72541
537	26678	72497
538	26719	72425
539	26763	72359
540	26809	72300
541	26855	72242
542	26898	72175
543	26939	72102
544	26979	72027
545	27022	71960
546	27069	71905
547	27116	71848
548	27157	71776
549	27196	71700
550	27249	71658
551	27298	71609
552	27343	71547
553	27389	71489
554	27436	71433
555	27473	71352
556	27507	71262
557	27542	71175
558	27588	71118
559	27628	71044
560	27675	70988
561	27715	70917
562	27758	70850
563	27803	70789
564	27845	70723
565	27892	70666
566	27937	70607
567	27982	70548
568	28036	70511
569	28080	70447
570	28123	70383
